ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime
12707,Endless Winter,1995,18+,7.8,100%,0,0,1,0,0,Jay Chapman,Drama,United States,English,92
12708,Harrigan,2013,18+,5,14%,0,0,1,0,0,Vincent Woods,"Action,Crime",United Kingdom,English,97
12709,BloodRayne: The Third Reich,2010,18+,3,100%,0,0,1,0,0,Uwe Boll,"Action,Adventure,Fantasy,Horror","United States,Canada,Germany",English,79
12710,Diamondz n da Ruff,2011,18+,3.8,100%,0,0,1,0,0,Dwayne 'DC' Coles,"Crime,Drama",United States,English,114
12711,Beijing Flickers,2012,18+,6.2,100%,0,0,1,0,0,Yuan Zhang,Drama,China,Mandarin,96
12712,Maria Bamford: Plan B,2010,18+,7,100%,0,0,1,0,0,David Moe,Comedy,United States,English,60
12714,The Great Chicken Wing Hunt,2013,18+,6.8,100%,0,0,1,0,0,Matt Reynolds,"Documentary,Adventure,Comedy","Czech Republic,Slovakia,United States",English,71
12715,Somewhere West,2011,18+,7.6,100%,0,0,1,0,0,David Marek,Drama,United States,English,103
12716,Heartstopper,2006,18+,4.1,100%,0,0,1,0,0,Bob Keen,"Horror,Thriller",Canada,English,92
12721,Kumpania,2011,18+,8.5,100%,0,0,1,0,0,Katina Dunn,"Documentary,Biography,History,Music",United States,English,60
12722,All Forgotten,2001,13+,4.9,100%,0,0,1,0,0,Reverge Anselmo,"Drama,Romance,War","United States,United Kingdom",English,106
12723,Amexico,2016,18+,4.2,100%,0,0,1,0,0,Glenn Robert Smith,Drama,United States,"English,Spanish",84
12725,Demon Legacy,2014,18+,3.2,100%,0,0,1,0,0,Rand Vossler,Horror,United States,English,93
12726,What's Up Superdoc!,1978,18+,4,100%,0,0,1,0,0,Derek Ford,Comedy,United Kingdom,English,89
12727,Wolves,1999,18+,6.6,100%,0,0,1,0,0,David Hayter,"Action,Fantasy,Horror,Thriller","France,Canada",English,91
12730,The Being,1983,18+,4.2,100%,0,0,1,0,0,Jackie Kong,"Horror,Sci-Fi",United States,English,82
12736,Pudsey the Dog: The Movie,2014,all,2.5,100%,0,0,1,0,0,Nick Moore,"Comedy,Family",United Kingdom,English,87
12738,Drive-In Horrorshow,2009,18+,4.2,100%,0,0,1,0,0,Michael Neel,Horror,United States,English,108
12740,Haunted by Her Past,1987,18+,5.5,100%,0,0,1,0,0,Michael Pressman,Horror,United States,English,100
12741,The Trade,2017,18+,5.9,40%,0,0,1,0,0,Jay Chapman,Documentary,United States,English,60
12742,The River Niger,1976,18+,6,100%,0,0,1,0,0,Krishna Shah,Drama,United States,English,105
12743,Hell Fire,2015,18+,3.4,100%,0,0,1,0,0,Marc Fratto,Horror,United States,English,93
12745,Road Wars,2015,18+,2.7,100%,0,0,1,0,0,Mark Atkins,"Action,Sci-Fi",United States,English,90
12747,American Exorcism,2017,18+,4.4,100%,0,0,1,0,0,Tripp Weathers,Horror,United States,English,92
12749,The Tomb,2009,18+,3.8,100%,0,0,1,0,0,Mikael Håfström,"Action,Thriller",United States,"English,German,Arabic,Urdu",115
12750,Boonie Bears: Homeward Journey,2013,18+,5.6,100%,0,0,1,0,0,Fuyuan Liu,"Animation,Adventure,Comedy,Family",China,"Chinese,English",68
12751,Demon with the Atomic Brain,2017,18+,5.5,100%,0,0,1,0,0,Christopher R. Mihm,Sci-Fi,United States,English,75
12752,The Hooligan Wars,2013,18+,3.6,100%,0,0,1,0,0,Paul Tanter,Crime,United Kingdom,English,76
12753,Subject 0: Shattered memories,2015,18+,5.7,100%,0,0,1,0,0,Tiziano Cella,Thriller,Italy,English,80
12754,The Ugly Duckling's Christmas Wish,1996,18+,6.2,100%,0,0,1,0,0,"Russ Harris,G. Brian Reynolds",Animation,United States,English,70
12756,Alien Abduction,2005,18+,2.4,100%,0,0,1,0,0,Dean Alioto,"Drama,Horror,Sci-Fi",United States,English,93
12757,Battle of Kings: Bannockburn,2014,18+,5.3,100%,0,0,1,0,0,Ben Mole,Documentary,Canada,English,90
12758,Pivot Point,2011,18+,5.8,100%,0,0,1,0,0,Zach Meiners,Drama,United States,English,85
12759,Way of the Puck,2006,7+,7.1,100%,0,0,1,0,0,Eric D. Anderson,"Documentary,Sport",United States,English,81
12761,The M Word,2014,18+,6.1,38%,0,0,1,0,0,Henry Jaglom,"Comedy,Drama",United States,English,117
12762,Ready to Fly,2012,18+,6.8,100%,0,0,1,0,0,William Kerig,"Documentary,Sport","United States,Portugal,Norway,Czech Republic,Canada,Germany",English,96
12763,Devil's Domain,2017,18+,3.4,100%,0,0,1,0,0,Jared Cohn,Horror,United States,English,93
12764,Christmas Break-In,2019,18+,4.4,100%,0,0,1,0,0,Michael Kampa,Family,United States,English,87
12765,The Trail,2013,18+,5.4,100%,0,0,1,0,0,William Parker,"Drama,Western",United States,English,92
12766,Driftwood,2016,18+,4.7,100%,0,0,1,0,0,Ronan O'Leary,Thriller,"United Kingdom,Ireland",English,100
12768,Under the Same Sun,2013,13+,6.7,100%,0,0,1,0,0,Sameh Zoabi,"Drama,History,War","United States,Israel,Palestine","Arabic,Hebrew,English",75
12770,Spiderwebhouse,2015,18+,6.2,100%,0,0,1,0,0,Mara Eibl-Eibesfeldt,"Drama,Fantasy",Germany,German,90
12772,Dawn of the Dragonslayer,2011,13+,4.3,100%,0,0,1,0,0,Anne K. Black,"Action,Adventure,Fantasy",United States,English,97
12773,Angels in Our Midst,2007,18+,4.5,100%,0,0,1,0,0,Robert Alaniz,"Drama,Family",United States,English,106
12774,Eggy,2015,18+,5.4,100%,0,0,1,0,0,Sergio Manfio,"Animation,Adventure,Family",Italy,"Italian,English",80
12776,Come on Eileen,2010,18+,6.4,100%,0,0,1,0,0,Finola Geraghty,Drama,"United Kingdom,Ireland",English,90
12777,Mee-Shee: The Water Giant,2005,7+,5.3,100%,0,0,1,0,0,John Henderson,"Adventure,Family,Fantasy","United Kingdom,Germany",English,95
12778,A Dark Place Inside,2014,18+,4.2,100%,0,0,1,0,0,Mike O'Mahony,Horror,United States,English,80
12779,The Free Speech Apocalypse,2015,18+,5.1,100%,0,0,1,0,0,Darren Doane,Documentary,United States,English,94
12781,The Incubus,2010,13+,4.1,100%,0,0,1,0,0,John Hough,"Horror,Thriller",Canada,English,93
12782,"Gallino, the Chicken System",2012,18+,5.9,100%,0,0,1,0,0,Carlos Atanes,"Comedy,Fantasy,Romance,Sci-Fi",Spain,Spanish,84
12783,Subprime,2010,18+,4.9,100%,0,0,1,0,0,Brooks Campbell,Comedy,United States,English,93
12785,Apocalypse Road,2016,18+,4.4,100%,0,0,1,0,0,Brett Bentman,Thriller,United States,English,88
12786,Beer Is Cheaper Than Therapy,2011,13+,6.5,100%,0,0,1,0,0,Simone de Vries,"Documentary,News","Netherlands,United States",English,78
12787,The Golden Rut,2016,18+,4.8,100%,0,0,1,0,0,"Josh Ashy Holden,Nick Holden",Comedy,United States,English,80
12790,Tormenting the Hen,2017,18+,6.2,100%,0,0,1,0,0,Theodore Collatos,"Drama,Thriller",United States,English,77
12791,Hopeville,2008,all,7.3,100%,0,0,1,0,0,John Trengove,"Drama,Family",South Africa,English,90
12792,Luna: Spirit of the Whale,2007,7+,6.1,100%,0,0,1,0,0,Don McBrearty,"Drama,Family",Canada,English,90
12793,Kill Daddy Good Night,2009,18+,6.2,100%,0,0,1,0,0,Michael Glawogger,Drama,"Austria,Germany,France,Ireland",German,117
12794,Margot,2005,18+,7.5,100%,0,0,1,0,0,Otto Bathurst,"Biography,Drama",United Kingdom,English,85
12795,Sarah's War,2018,18+,4.5,100%,0,0,1,0,0,Brian O'Connell,Drama,United Kingdom,English,107
12796,Strait & Narrow,2017,18+,6.4,100%,0,0,1,0,0,Christopher Compton,"Action,Adventure,Drama",United States,English,120
12797,Wrestling with Life,2014,18+,7.2,100%,0,0,1,0,0,Christopher Bohlender,"Documentary,Biography,Family,Sport",United States,English,69
12798,Second to Die,2002,18+,5.7,100%,0,0,1,0,0,Brad Marlowe,Thriller,United States,English,89
12799,Blood + Roses,2010,18+,5.1,100%,0,0,1,0,0,Simon Aitken,Horror,United Kingdom,English,78
12802,Number Runner,2014,18+,6.1,100%,0,0,1,0,0,Robbie Moffat,Thriller,United Kingdom,English,90
12804,Unmasked Judeophobia,2011,18+,6.1,100%,0,0,1,0,0,Gloria Z. Greenfield,"Documentary,History",United States,English,82
12805,The Fear of Darkness,2015,18+,4,100%,0,0,1,0,0,Christopher Fitchett,"Horror,Thriller",Australia,English,91
12807,The Gunfighters,1987,7+,5,100%,0,0,1,0,0,Clay Borris,Western,Canada,English,96
12808,"Nick Cannon: Stand Up, Don't Shoot",2017,18+,3.5,100%,0,0,1,0,0,Gil Cunha,Comedy,United States,English,62
12809,Josh Blue: Delete,2016,18+,6.4,100%,0,0,1,0,0,Frank Ishizaki,Comedy,United States,English,60
12810,Last Winter,2012,18+,5.8,100%,0,0,1,0,0,Riki Shelach Nissimoff,"Drama,War","United States,Israel",English,89
12812,In a Town This Size,2011,13+,6.3,100%,0,0,1,0,0,Patrick Viersen Brown,Documentary,United States,English,71
12815,Let It Bleed,2016,18+,5.3,100%,0,0,1,0,0,Ben Burke,"Action,Comedy,Thriller",United States,English,88
12816,Cracking the Da Vinci Code,2004,18+,4.3,100%,0,0,1,0,0,Simon Cox,"Documentary,History",United States,English,120
12818,The Winter Stallion,1992,18+,6.3,100%,0,0,1,0,0,Peter Edwards,Drama,United Kingdom,English,95
12819,Michael McDonald: Model. Citizen.,2010,18+,6.2,100%,0,0,1,0,0,"Manny Rodriguez,Brittany Segrest",Comedy,United States,English,60
12820,6 Minutes of Death,2013,18+,3.6,100%,0,0,1,0,0,Joseph Ciminera,Sci-Fi,United States,English,70
12821,Jackrabbit,2015,16+,4.5,100%,0,0,1,0,0,Carleton Ranney,"Drama,Sci-Fi,Thriller",United States,English,100
12824,Rabid Grannies,1988,18+,4.9,100%,0,0,1,0,0,Emmanuel Kervyn,"Comedy,Horror","Belgium,France,Netherlands","French,English",89
12826,Wandering Eye,2011,13+,5.1,100%,0,0,1,0,0,François Dompierre,"Mystery,Thriller",Canada,English,89
12828,"Mabel, Mabel Tiger Trainer",2018,18+,4.8,100%,0,0,1,0,0,Leslie Zemeckis,Documentary,United States,English,93
12829,ReVamped,2007,18+,2.9,100%,0,0,1,0,0,Jeff Rector,Horror,United States,English,87
12830,Captain Beefheart: Under Review,2006,18+,5.902751499,100%,0,0,1,0,0,Jay Chapman,Drama,United States,English,93.41344725
12831,Rich in Spirit,2007,18+,4.1,100%,0,0,1,0,0,Cora Anne,Comedy,United States,English,90
12833,Stolen Innocence,1995,18+,5.6,100%,0,0,1,0,0,Skye Borgman,"Documentary,Crime,Drama,Thriller",United States,English,91
